Temperature,Pressure,Humidity,Wind Direction,Wind Speed,Weather Description
42.134,1013,93,60,4,thunderstorm
38.714,1014,100,50,4,thunderstorm
51.782,1015,87,300,2,thunderstorm
54.806,1024,47,130,3,thunderstorm
48.596,1021,66,90,6,thunderstorm
44.762,1022,93,50,3,thunderstorm
44.546,1020,93,110,5,thunderstorm
45.518,1016,87,110,3,thunderstorm
69.062,1015,49,100,3,thunderstorm
69.854,1006,68,240,1,thunderstorm
72.176,1011,73,240,3,thunderstorm
80.942,1017,62,150,3,thunderstorm
69.026,1013,94,210,1,thunderstorm
63.572,998,94,109,2,thunderstorm
66.776,1009,84,202,2,thunderstorm
63.41,1012,86,36,3,thunderstorm
78.134,1012,92,282,2,thunderstorm
78.134,1009,94,249,1,thunderstorm
76.244,1007,82,167,0,thunderstorm
75.956,1004,75,174,2,thunderstorm
69.728,1006,83,240,2,thunderstorm
67.532,1005,94,103,0,thunderstorm
74.228,999,100,318,2,thunderstorm
75.2,1015,84,301,1,thunderstorm
74.012,1013,94,200,2,thunderstorm
78.638,1024,86,171,1,thunderstorm
77.936,1023,86,171,1,thunderstorm
85.982,1024,100,198,1,thunderstorm
86.414,1021,46,250,3,thunderstorm
90.086,1013,75,251,1,thunderstorm
81.194,1008,48,310,7,thunderstorm
80.078,1008,74,260,3,thunderstorm
77.486,1007,78,220,5,thunderstorm
76.388,1007,93,278,4,thunderstorm
70.394,1007,88,230,3,thunderstorm
69.692,1009,83,180,5,thunderstorm
67.784,1008,82,310,3,thunderstorm
65.93,1009,82,300,3,thunderstorm
67.478,1010,92,323,2,thunderstorm
66.2,1012,88,272,1,thunderstorm
80.996,1016,74,77,1,thunderstorm
73.688,1008,88,210,3,thunderstorm
73.058,1006,92,162,0,thunderstorm
77.828,1012,95,227,3,thunderstorm
69.368,1009,98,195,3,thunderstorm
44.33,1019,60,107,3,thunderstorm
44.348,1015,55,69,1,thunderstorm
46.85,1018,75,100,4,thunderstorm
55.778,1018,66,30,2,thunderstorm
68.828,1005,83,157,2,thunderstorm
85.154,1012,48,230,7,thunderstorm
61.844,1014,87,70,2,thunderstorm
59.936,1012,88,250,1,thunderstorm
73.796,1006,100,210,3,thunderstorm
72.338,1005,100,240,5,thunderstorm
83.858,1005,58,290,5,thunderstorm
84.11,1005,51,260,4,thunderstorm
76.64,1013,69,230,2,thunderstorm
68.252,1015,72,320,1,thunderstorm
80.726,1019,39,259,1,thunderstorm
79.196,1019,44,210,3,thunderstorm
81.23,1018,51,330,3,thunderstorm
74.048,1018,54,270,4,thunderstorm
65.21,1018,100,232,0,thunderstorm
66.794,1020,100,310,2,thunderstorm
66.74,1019,93,267,1,thunderstorm
66.56,1019,100,20,2,thunderstorm
72.284,1007,64,210,2,thunderstorm
72.536,1002,78,210,2,thunderstorm
77.09,999,74,280,5,thunderstorm
81.716,1013,54,10,3,thunderstorm
77.81,1012,88,230,3,thunderstorm
81.05,1012,62,240,1,thunderstorm
75.776,1013,94,320,6,thunderstorm
88.574,1012,44,210,4,thunderstorm
63.842,1008,93,160,3,thunderstorm
63.572,1004,93,170,12,thunderstorm
75.182,1011,83,250,1,thunderstorm
72.77,1010,88,281,0,thunderstorm
84.488,1017,58,270,2,thunderstorm
79.502,1019,57,330,5,thunderstorm
71.456,1020,69,40,4,thunderstorm
85.118,1018,45,240,3,thunderstorm
84.362,1017,66,180,6,thunderstorm
79.88,1016,74,210,2,thunderstorm
71.258,1007,94,180,2,thunderstorm
69.152,1006,94,270,3,thunderstorm
72.176,1009,73,180,5,thunderstorm
71.708,1019,88,210,2,thunderstorm
88.232,1014,49,280,5,thunderstorm
83.75,1015,57,330,2,thunderstorm
85.478,1014,52,210,3,thunderstorm
78.44,1015,69,270,11,thunderstorm
75.524,1013,78,130,5,thunderstorm
72.626,1014,94,237,1,thunderstorm
69.062,1013,88,90,3,thunderstorm
68.288,1015,100,160,2,thunderstorm
68.684,1015,88,140,4,thunderstorm
68.918,1009,94,180,3,thunderstorm
68.846,1007,94,170,4,thunderstorm
37.508,1012,69,80,6,thunderstorm
44.006,1008,87,60,5,thunderstorm
43.25,1006,100,60,5,thunderstorm
54.05,1001,81,220,7,thunderstorm
48.632,1005,93,70,4,thunderstorm
48.506,1003,100,295,3,thunderstorm
53.582,1006,62,100,3,thunderstorm
50.36,1006,100,80,1,thunderstorm
50.9,1004,93,140,5,thunderstorm
50.594,1004,93,50,2,thunderstorm
57.632,1002,62,170,7,thunderstorm
61.664,1012,93,230,3,thunderstorm
58.82,1024,66,30,5,thunderstorm
83.462,1017,58,180,5,thunderstorm
82.706,1014,48,190,9,thunderstorm
81.464,1013,73,220,5,thunderstorm
80.15,1014,45,120,3,thunderstorm
69.008,1002,83,220,7,thunderstorm
70.034,1001,73,220,6,thunderstorm
68.846,1001,82,240,8,thunderstorm
79.178,1001,32,220,7,thunderstorm
76.622,1000,32,290,6,thunderstorm
64.22,1009,60,274,4,sky is clear
64.436,1009,61,274,4,sky is clear
63.374,1009,65,274,4,sky is clear
61.97,1012,72,71,1,sky is clear
67.766,1012,62,71,1,sky is clear
70.358,1012,52,71,1,sky is clear
74.066,1012,54,161,0,sky is clear
76.298,1012,50,161,0,sky is clear
80.438,1011,49,46,1,sky is clear
78.08,1019,38,70,2,sky is clear
82.418,1018,34,70,4,sky is clear
82.112,1019,34,100,2,sky is clear
80.456,1018,36,70,2,sky is clear
77.828,1018,34,100,3,sky is clear
74.192,1019,38,160,2,sky is clear
63.626,1020,68,270,1,sky is clear
62.312,1020,77,230,1,sky is clear
60.44,1020,87,260,1,sky is clear
59.63,1020,82,60,1,sky is clear
58.478,1020,82,21,0,sky is clear
58.064,1020,87,0,1,sky is clear
60.134,1021,87,42,1,sky is clear
66.398,1021,77,42,1,sky is clear
73.238,1021,50,0,1,sky is clear
77.288,1022,44,120,1,sky is clear
80.096,1022,36,120,2,sky is clear
71.06,1019,73,160,2,sky is clear
68.576,1020,82,148,2,sky is clear
68.054,1019,82,170,4,sky is clear
68.09,1018,77,170,3,sky is clear
66.524,1018,82,140,2,sky is clear
60.71,1019,48,330,3,sky is clear
65.264,1019,39,320,5,sky is clear
69.008,1019,37,340,4,sky is clear
76.928,1018,33,0,1,sky is clear
78.08,1017,29,0,2,sky is clear
78.35,1017,27,70,2,sky is clear
78.494,1016,31,120,5,sky is clear
77.74484882,1016,28,167,4,sky is clear
75.65,1017,21,300,2,sky is clear
62.996,1011,82,150,1,thunderstorm
64.076,1018,52,350,5,sky is clear
61.268,1019,59,350,3,sky is clear
59.018,1019,63,330,2,sky is clear
57.884,1019,63,330,2,sky is clear
54.716,1019,82,200,1,sky is clear
53.672,1020,82,250,2,sky is clear
74.714,1012,69,250,3,sky is clear
72.05,1013,57,250,1,sky is clear
70.826,1012,77,230,3,sky is clear
70.196,1012,77,260,2,sky is clear
71.582,1010,94,210,3,thunderstorm
70.232,1011,94,350,5,thunderstorm
80.15,1006,62,240,7,thunderstorm
75.722,1007,83,290,6,thunderstorm
68.144,1008,73,280,3,sky is clear
